id,name,code,bin,shortName,logo,transferSupported,lookupSupported,short_name,support,isTransfer,swift_code
63,Ngân hàng Chính sách Xã hội,VBSP,999888,VBSP,https://cdn.vietqr.io/img/VBSP.png,0,0,VBSP,0,0,
11,Ngân hàng Thương mại TNHH MTV Dầu Khí Toàn Cầu,GPB,970408,GPBank,https://cdn.vietqr.io/img/GPB.png,0,1,GPBank,0,0,GBNKVNVX
51,Ngân hàng Kookmin - Chi nhánh Thành phố Hồ Chí Minh,KBHCM,970463,KookminHCM,https://cdn.vietqr.io/img/KBHCM.png,0,0,KookminHCM,0,0,
50,Ngân hàng Kookmin - Chi nhánh Hà Nội,KBHN,970462,KookminHN,https://cdn.vietqr.io/img/KBHN.png,0,0,KookminHN,0,0,
49,Ngân hàng TNHH MTV Woori Việt Nam,WVN,970457,Woori,https://cdn.vietqr.io/img/WVN.png,1,1,Woori,0,1,
48,Ngân hàng Liên doanh Việt - Nga,VRB,970421,VRB,https://cdn.vietqr.io/img/VRB.png,0,1,VRB,0,0,
14,Ngân hàng TNHH MTV HSBC (Việt Nam),HSBC,458761,HSBC,https://cdn.vietqr.io/img/HSBC.png,0,1,HSBC,0,0,HSBCVNVX
15,Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh Hà Nội,IBK - HN,970455,IBKHN,https://cdn.vietqr.io/img/IBK.png,0,0,IBKHN,0,0,
16,Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh TP. Hồ Chí Minh,IBK - HCM,970456,IBKHCM,https://cdn.vietqr.io/img/IBK.png,0,0,IBKHCM,0,0,
18,Ngân hàng TNHH Indovina,IVB,970434,IndovinaBank,https://cdn.vietqr.io/img/IVB.png,0,1,IndovinaBank,0,0,
40,Ngân hàng United Overseas - Chi nhánh TP. Hồ Chí Minh,UOB,970458,UnitedOverseas,https://cdn.vietqr.io/img/UOB.png,0,1,UnitedOverseas,0,0,
25,Ngân hàng Nonghyup - Chi nhánh Hà Nội,NHB HN,801011,Nonghyup,https://cdn.vietqr.io/img/NHB.png,0,0,Nonghyup,0,0,
32,Ngân hàng TNHH MTV Standard Chartered Bank Việt Nam,SCVN,970410,StandardChartered,https://cdn.vietqr.io/img/SCVN.png,0,1,StandardChartered,0,0,SCBLVNVX
28,Ngân hàng TNHH MTV Public Việt Nam,PBVN,970439,PublicBank,https://cdn.vietqr.io/img/PBVN.png,0,1,PublicBank,0,0,VIDPVNVX
